key	text	tooltip
event_feed_strings_text_description_event_emp_valmir_von_raukov_LL_unlocked	With Ostland being defeated, Legendary Valmir von Raukov, known by his full title as Elector-Count Valmir von Raukov, Grand Prince of Ostland, Margrave of the Northern March and the Hammer of the East, is ready to join our faction. This warmongerer could surely be of use.. If we wish.	true
event_feed_strings_text_description_event_emp_alberich_haupt_anderssen_LL_unlocked	With Stirland being defeated, Legendary  Elector Count Alberich Haupt-Anderssen is offering his sword and mind to us, he may have useful insights on the Vampires and Necromancers of Sylvania.	true
event_feed_strings_text_description_event_emp_helmut_feuerbach_LL_unlocked	With Talabecland being defeated, Legendary Helmut Feuerbach, known by his full title, Elector-Count Helmut Feuerbach, Grand Duke of Talabecland, Beloved of Taal, Margrave of the East March has offered to join us. He may have a foul temper, but surely he will prove useful!	true
event_feed_strings_text_title_event_emp_alberich_von_korden_LL_unlocked	Alberich von Korden	true
event_feed_strings_text_description_event_emp_alberich_von_korden_LL_unlocked	With his faction being defeated, Legendary Witch Hunter, Alberich von Korden has offered his services to you. His feared reputation is one that is more than mere words, and his hunt will continue until all your enemies lay slain.	true
event_feed_strings_text_title_event_emp_luthor_huss_LL_unlocked	Luthor Huss	true
event_feed_strings_text_description_event_emp_luthor_huss_LL_unlocked	Luthor Huss,the legendary and zealously pious warrior priest of the Cult of Sigmar, who is also known as the Prophet of Sigmar has joined your faction, sire. He will no doubt continue his eternal battle in the name of Sigmar.\\n	true
event_feed_strings_text_title_event_emp_theodore_bruckner_LL_unlocked	Theodore Bruckner	true
event_feed_strings_text_description_event_emp_theodore_bruckner_LL_unlocked	Theodore Bruckner, also known as the Hound of Judgment and the Titan Headsman has sworn his services to you after the defeat of his previous faction. His experience as the Judicial Champion of Nuln will no doubt prove helpful!\\n	true
event_feed_strings_text_title_event_emp_vorn_thugenheim_LL_unlocked	Vorn Thugenheim	true
event_feed_strings_text_description_event_emp_vorn_thugenheim_LL_unlocked	Vorn Thugenheim the Standard Bearer of Middenheim and a member of the elite Teutogen Guard has joined your faction after the defeat of his own-- allow him to carry the banner as a sign of integration or of their conquest. No matter what you do, he belongs to you now!\\n	true
event_feed_strings_text_title_event_emp_alberich_von_korden_hero_LL_unlocked	Alberich von Korden	true
event_feed_strings_text_description_event_emp_alberich_von_korden_hero_LL_unlocked	With his faction being defeated, Legendary Witch Hunter, Alberich von Korden has offered his services to you. His feared reputation is one that is more than mere words, and his hunt will continue until all your enemies lay slain.	true
event_feed_strings_text_title_event_brt_john_tyreweld_LL_unlocked	Sir John Tyreweld	true
event_feed_strings_text_title_event_def_tullaris_dreadbringer_LL_unlocked	Tullaris Dreadbringer	true
event_feed_strings_text_title_event_grn_gorfang_rotgut_LL_unlocked	Gorfang Rotgut	true
event_feed_strings_text_title_event_hef_belannaer_LL_unlocked	Belannaer the Wise	true
event_feed_strings_text_title_event_hef_korhil_LL_unlocked	Korhil	true
event_feed_strings_text_title_event_lzd_lord_huinitenuchli_LL_unlocked	Lord Huinitenuchli	true
event_feed_strings_text_title_event_lzd_tetto_eko_LL_unlocked	Tetto'eko	true
event_feed_strings_text_title_event_nor_egil_styrbjorn_LL_unlocked	Egil Styrbjorn	true
event_feed_strings_text_title_event_tmb_tutankhanut_LL_unlocked	King Tutankhanut	true
event_feed_strings_text_title_event_wef_naieth_the_prophetess_LL_unlocked	Naieth the Prophetess	true
event_feed_strings_text_description_event_brt_john_tyreweld_LL_unlocked	With the Knights of Origo being defeated, The Legendary Sir John Tyreweld wants to join your cause!	true
event_feed_strings_text_description_event_def_tullaris_dreadbringer_LL_unlocked	With the Scourge of Khaine being defeated, Tullaris Dreadbringer, Legendary Chosen of Khaine, Captain of the Har Ganeth Executioners and one of the most murderous war-leaders in the world wants to join you. For Chaos!	true
event_feed_strings_text_description_event_grn_gorfang_rotgut_LL_unlocked	With Red Fang being defeated, Legendary King Gorfang Rotgut of Black Crag, also known as the Troll-Eater wants to join you!	true
event_feed_strings_text_description_event_hef_belannaer_LL_unlocked	With Saphery being defeated, Belannaer the Wise, Legendary second greatest Archmage of Saphery to High Loremaster Teclis himself wants to join your cause.	true
event_feed_strings_text_description_event_hef_korhil_LL_unlocked	With Chrace being defeated, Korhil, Captain of the White Lions and the leader of the White Lions honour guard and the personal and trusted bodyguard of Phoenix King Finubar the Seafarer, has sworn to join you to continue the fight.	true
event_feed_strings_text_description_event_lzd_lord_huinitenuchli_LL_unlocked	With Xlanhuapec being defeated, Lord Huinitenuchli, eldest of Xlanhuapec has offered his wisdom to you!	true
event_feed_strings_text_description_event_lzd_tetto_eko_LL_unlocked	With Tlaxtlan being defeated, Tetto'eko, Astronomer of the Constellations, Legendary Chief Astronomer  of Tlaxtlan wants to offer his wisdom to your cause.	true
event_feed_strings_text_description_event_nor_egil_styrbjorn_LL_unlocked	With Skaeling being defeated, Egil Styrbjorn of the Skaelings, known also as the Slayer of Souls and the Butcher of Immortals wants to join your cause and continue to wreak havoc. FOR CHAOS!	true
event_feed_strings_text_description_event_tmb_tutankhanut_LL_unlocked	With Numas being defeated, King Tutankhanut wants to join your cause and fight for a united land. For Nehekhara!	true
event_feed_strings_text_description_event_wef_naieth_the_prophetess_LL_unlocked	With Wydrioth being defeated, Naieth the Prophetess has offered her services and wisdom to you, to protect the forests of Athel Loren.	true
event_feed_strings_text_title_event_bst_ghorros_warhoof_LL_unlocked	Ghorros Warhoof	true
event_feed_strings_text_description_event_bst_ghorros_warhoof_LL_unlocked	Ghorros Warhoof the Sire of a Thousand Young has offered to join you after the defeat of his previous lord and faction. He is a gnarled, ancient Centigor who is forever fighting, rutting or getting drunk. Good luck, my lord!\\n	true
event_feed_strings_text_title_event_def_kouran_darkhand_LL_unlocked	Kouran Darkhand	true
event_feed_strings_text_description_event_def_kouran_darkhand_LL_unlocked	Captain Kouran Darkhand  of the Black Guard was the longest-serving member of Malekith's personal army before the fall of Malekith and his faction. He has now offered his services to you, my lord.. Do you think it wise to take this man into our service? \\n	true
event_feed_strings_text_title_event_lzd_chakax_LL_unlocked	Chakax	true
event_feed_strings_text_description_event_lzd_chakax_LL_unlocked	Chakax the Eternal Warden was the greatest of the living Saurus Temple-Guards of the city of Xlanhuapec. He has found his way to your service after his duties to protect the City of Mist failed.\\n	true
event_feed_strings_text_title_event_brt_donna_don_domingio_LL_unlocked	Donna Don Domingio	true
event_feed_strings_text_description_event_brt_donna_don_domingio_LL_unlocked	Donna Don Domingio has become available after the defeat of their previous faction. They are now available to you, great lord!\\n	true
event_feed_strings_text_title_event_tmb_ramhotep_LL_unlocked	Ramhotep the Visionary	true
event_feed_strings_text_description_event_tmb_ramhotep_LL_unlocked	Ramhotep the Visionary was perhaps the greatest Necrotect in history. His craftsmanship was second to none, yet it did not stop his faction from falling. This fallen hero has now offered his services to you and you alone, great lord. \\n	true
event_feed_strings_text_title_event_chs_egrimm_van_horstmann_LL_unlocked	Egrimm van Horstmann	true
event_feed_strings_text_description_event_chs_egrimm_van_horstmann_LL_unlocked	Egrimm van Horstmann is the most infamous, and perhaps most dangerous, of the Imperial Colleges’ few known traitors, and he is the White Order’s greatest shame. That did not stop him from falling and being defeated. His faction's defeat has brought him straight to you, my lord.. Use this powerful creature to your advantage!\\n	true
event_feed_strings_text_title_event_skv_feskit_LL_unlocked	Warlord Feskit	true
event_feed_strings_text_description_event_skv_feskit_LL_unlocked	Warlord Feskit was-is the chieftain of Clan Mordkin. With his Clan defeat-killed he has joined you to bring glory-riches to your own Clan! \\n	true
event_feed_strings_text_title_event_chs_aekold_helbrass_LL_unlocked	Aekold Helbrass	false
event_feed_strings_text_description_event_chs_aekold_helbrass_LL_unlocked		false
event_feed_strings_text_title_event_def_tullaris_hero_LL_unlocked	Tullaris Dreadbringer	false
event_feed_strings_text_description_event_def_tullaris_hero_LL_unlocked	With the Scourge of Khaine being defeated, Tullaris Dreadbringer, Legendary Chosen of Khaine, Captain of the Har Ganeth Executioners and one of the most murderous war-leaders in the world wants to join you. For Chaos!	false
event_feed_strings_text_title_event_chs_azubhor_clawhand_LL_unlocked	Azubhor Clawhand	false
event_feed_strings_text_description_event_chs_azubhor_clawhand_LL_unlocked		false
event_feed_strings_text_title_event_brt_amalric_de_gaudaron_LL_unlocked	Amalric de Gaudaron	false
event_feed_strings_text_description_event_brt_amalric_de_gaudaron_LL_unlocked		false
event_feed_strings_text_title_event_bst_slugtongue_LL_unlocked	Molokh Slugtongue	false
event_feed_strings_text_description_event_bst_slugtongue_LL_unlocked		false
event_feed_strings_text_title_event_chs_malofex_the_storm_chaser_LL_unlocked	Malofex the Storm Chaseer	false
event_feed_strings_text_description_event_chs_malofex_the_storm_chaser_LL_unlocked		false
event_feed_strings_text_title_event_cst_drekla_LL_unlocked	Captain Drekla	false
event_feed_strings_text_description_event_cst_drekla_LL_unlocked		false
event_feed_strings_text_title_event_dwf_grimm_burloksson_LL_unlocked	Grimm Burloksson	false
event_feed_strings_text_description_event_dwf_grimm_burloksson_LL_unlocked		false
event_feed_strings_text_title_event_dwf_kragg_the_grim_LL_unlocked	Kragg the Grim	false
event_feed_strings_text_description_event_dwf_kragg_the_grim_LL_unlocked		false
event_feed_strings_text_title_event_hef_caradryan_LL_unlocked	Caradryan	false
event_feed_strings_text_description_event_hef_caradryan_LL_unlocked		false
event_feed_strings_text_title_event_tze_melekh_the_changer_LL_unlocked	Melekh the Changer	false
event_feed_strings_text_description_event_tze_melekh_the_changer_LL_unlocked		false
event_feed_strings_text_title_event_vmp_dieter_helsnicht_LL_unlocked	Dieter Helsnicht	false
event_feed_strings_text_description_event_vmp_dieter_helsnicht_LL_unlocked		false
event_feed_strings_text_title_event_wef_wychwethyl_LL_unlocked	Wychwethyl the Wild	false
event_feed_strings_text_description_event_wef_wychwethyl_LL_unlocked		false
